Designator,Footprint,Center-X(mil),Center-Y(mil),Ref-X(mil),Ref-Y(mil),Pad-X(mil),Pad-Y(mil),Layer,Rotation,Comment
C29,0603_C,1285.315,1031.561,1285.315,1031.561,1285.315,1061.876,TopLayer,270,1uF 50V
C28,0603_C,1205.315,1031.561,1205.315,1031.561,1205.315,1061.876,TopLayer,270,1uF 50V
C27,0603_C,569.606,2113.49,569.606,2113.49,539.291,2113.49,TopLayer,360,4.7nF 50V
C26,0603_C,569.606,1890.734,569.606,1890.734,539.291,1890.734,TopLayer,360,4.7nF 50V
C25,0603_C,569.606,2002.112,569.606,2002.112,599.921,2002.112,TopLayer,180,4.7nF 50V
C24,0603_C,569.606,1779.356,569.606,1779.356,599.921,1779.356,TopLayer,180,4.7nF 50V
C23,0603_C,569.606,1667.978,569.606,1667.978,539.291,1667.978,TopLayer,360,4.7nF 50V
C22,0603_C,569.606,1445.223,569.606,1445.223,539.291,1445.223,TopLayer,360,4.7nF 50V
C21,0603_C,850,875,850,875,819.685,875,TopLayer,360,1uF (105) 10% 50V
C20,0603_C,569.606,1556.601,569.606,1556.601,599.921,1556.601,TopLayer,180,4.7nF 50V
C19,0603_C,569.606,1333.845,569.606,1333.845,599.921,1333.845,TopLayer,180,4.7nF 50V
C18,0603_C,569.606,1222.467,569.606,1222.467,539.291,1222.467,TopLayer,0,4.7nF 50V
C17,0603_C,569.606,999.711,569.606,999.711,539.291,999.711,TopLayer,0,4.7nF 50V
C16,0603_C,569.606,1111.089,569.606,1111.089,599.921,1111.089,TopLayer,180,4.7nF 50V
C15,0603_C,569.606,888.333,569.606,888.333,599.921,888.333,TopLayer,180,4.7nF 50V
C14,0603_C,1535,1970.315,1535,1970.315,1535,1940,TopLayer,90,100nF 50V
C13,0603_C,1450,1970.315,1450,1970.315,1450,1940,TopLayer,90,1uF 50V
C12,0603_C,1409.921,1373.333,1409.921,1373.333,1379.606,1373.333,TopLayer,0,100nF 50V
C11,0603_C,1410.236,1285.315,1410.236,1285.315,1379.921,1285.315,TopLayer,0,1uF 50V
C10,0603_C,885,1370,885,1370,915.315,1370,TopLayer,180,100nF 50V
C9,0603_C,885,1285.315,885,1285.315,915.315,1285.315,TopLayer,180,1uF 50V
C8,0603_C,1001.811,2551.811,1001.811,2551.811,971.496,2551.811,TopLayer,360,10nF 50V
C7,0603_C,1162.087,2470.552,1162.087,2470.552,1131.772,2470.552,TopLayer,0,100nF 50V
C6,0603_C,135.551,2203.451,135.551,2203.451,135.551,2173.136,TopLayer,90,4.7nF 50V
C5,0603_C,1162.087,2383.885,1162.087,2383.885,1131.772,2383.885,TopLayer,0,1uF 50V
C4,0603_C,1015,2110,1015,2110,1045.315,2110,TopLayer,180,100nF 50V
C3,0603_C,1225,2110,1225,2110,1194.685,2110,TopLayer,360,1uF 50V
C2,0603_C,1155.007,1285.144,1155.007,1285.144,1124.692,1285.144,TopLayer,360,100nF 50V
C1,0603_C,1154.692,1200.459,1154.692,1200.459,1124.377,1200.459,TopLayer,360,1uF 50V
